id,name,date,genre,description,backdrop,poster
550988,Free Guy,2021-08-11,"Comedy, Action, Adventure, Science Fiction",A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline.,/8Y43POKjjKDGI9MH89NW0NAzzp8.jpg,/xmbU4JTUm8rsdtn7Y3Fcm30GpeT.jpg
568620,Snake Eyes: G.I. Joe Origins,2021-07-22,"Action, Adventure","After saving the life of their heir apparent, tenacious loner Snake Eyes is welcomed into an ancient Japanese clan called the Arashikage where he is taught the ways of the ninja warrior. But, when secrets from his past are revealed, Snake Eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.",/aO9Nnv9GdwiPdkNO79TISlQ5bbG.jpg,/uIXF0sQGXOxQhbaEaKOi2VYlIL0.jpg
637534,The Stronghold,2021-08-18,"Crime, Thriller","A police brigade working in the dangerous northern neighborhoods of Marseille, where the level of crime is higher than anywhere else in France.",/vkIJ2QgcKMJRvi6pBW4Tr2kgLdy.jpg,/nLanxl7Xhfbd5s8FxPy8jWZw4rv.jpg
703771,Deathstroke: Knights & Dragons - The Movie,2020-08-04,"Animation, Action, Adventure, Science Fiction",The assassin Deathstroke tries to save his family from the wrath of H.I.V.E. and the murderous Jackal.,/owraiceOKtSOa3t8sp3wA9K2Ox6.jpg,/vFIHbiy55smzi50RmF8LQjmpGcx.jpg
681887,Cosmic Sin,2021-03-12,Science Fiction,"In the year 2524, four centuries after humans started colonizing the outer planets, retired General James Ford gets called back into service when a hostile alien fleet attacks soldiers on a remote planet. The threat against mankind soon escalates into an interstellar war as Ford and a team of elite soldiers try to stop the imminent attack before it's too late.",/umAoDwLZMBrYeCDfbJYFRMuXWAr.jpg,/6Wm7P6y22UZA40QuPYHyWyJ6leI.jpg
589754,The Last Warrior: Root of Evil,2021-01-01,"Fantasy, Adventure, Comedy","Peace and tranquility have set in Belogorie. The evil was defeated and Ivan is now enjoying his well-deserved fame. He is surrounded by his family, friends and small wonders from the modern world that help him lead a comfortable life. Luckily, he has his Magic Sword to cut a gap between the worlds to get some supplies quite regularly. But when an ancient evil rises and the existence of the magic world is put to danger, Ivan has to team up with his old friends and his new rivals. They will set out on a long journey beyond the known world to find a way to defeat the enemies and to return peace to Belogorie.",/dIibeeq4QMay5bTJ2vjr72IFFRo.jpg,/5VJSIAhSn4qUsg5nOj4MhQhF5wQ.jpg
580489,Venom: Let There Be Carnage,2021-09-30,"Science Fiction, Action","After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",/t9nyF3r0WAlJ7Kr6xcRYI4jr9jm.jpg,/rjkmN1dniUHVYAtwuV3Tji7FsDO.jpg
839436,Dragon Fury,2021-06-15,"Horror, Fantasy, Mystery",A group of soldiers are taken to the mountains of Wales to investigate a strange beast.,/5PQhNs4M3RxIqaNAdBI6mXlXyYh.jpg,/6WcJ4cV2Y3gnTYp5zHu968TYmTJ.jpg
566525,Shang-Chi and the Legend of the Ten Rings,2021-09-01,"Action, Adventure, Fantasy",Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,/cinER0ESG0eJ49kXlExM0MEWGxW.jpg,/xeItgLK9qcafxbd8kYgv7XnMEog.jpg
631843,Old,2021-07-21,"Mystery, Thriller, Horror",A group of families on a tropical holiday discover that the secluded beach where they are staying is somehow causing them to age rapidly – reducing their entire lives into a single day.,/iTgM25ftE7YtFgZwUZupVp8A61S.jpg,/vclShucpUmPhdAOmKgf3B3Z4POD.jpg
